"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"259","D. Love","Morecambe","Morecambe","England League One","2022/23","RWB","RB",NA,27,250000,"",3,247,0,0,0,0.57,13.12,33.33,"Scotland","Scotland, England","right",178,72,"no",10.57,6.19,52.94,2.91,12.5,0.73,0.91,0,6.56,8.18,0.73,1,0.36,0,0,0.73,0,0,0,0,0,0,1,0.36,0,0,0,2.19,33.33,0.73,50,1.46,25,0.36,0.36,0,1.46,50,0.36,0.36,0,14.94,0,0.36,22.59,58.06,11.3,51.61,1.82,100,5.83,62.5,15.67,69.77,5.1,35.71,28.8,53.3,0.21,0.73,0.36,0,0.36,0,0.36,7.65,42.86,2.91,37.5,2.19,16.67,0.73,0.73,8.38,52.17,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,1.46,0,0,1.09,0,0,"WB",0,NA,0,13.115754,3.276986,4.371846,0,0.729927,1.09125,44.112638755794
"260","J. Williams","Barnsley","Barnsley","England League One","2022/23","RWB","RB",NA,23,400000,"30/06/2023",3,246,0,0.03,1,0.25,17.56,43.75,"England","England","right",179,75,"no",9.88,8.05,45.45,2.2,50,0,0,0,6.22,7.73,0.37,0,0,0,0,2.2,0,0,0,0.01,0,0,1,0.37,0,0,0.37,1.46,50,0,0,1.46,50,0,1.1,100,4.02,27.27,0.73,1.1,1.1,23.05,2.56,0.37,33.29,79.12,14.27,66.67,5.12,100,8.78,91.67,27.07,83.78,5.49,60,19.01,40.59,0.09,0.37,0,0.73,0.37,100,0.73,5.12,71.43,2.2,83.33,0.73,50,1.83,0.37,9.88,70.37,0,NA,0,NA,0,0,0,0,NA,NA,0.37,NA,NA,0,0,0,0,0,0,"WB",1.1,0,0.37,26.339048,3.658725,6.952556,0,0.73,1.83326,52.22830837308
"261","C. Norton","Cheltenham Town","Cheltenham Town","England League One","2022/23","CF","AMF",NA,21,100000,"30/06/2023",5,246,0,0.21,0,0.21,32.93,20,"England","England, Wales","right",175,70,"no",5.12,3.66,90,7.68,4.76,0,0,0,1.83,2.31,0.73,1,0.37,0,0,2.2,0,0,0,0.08,0,0,1,0.37,100,0,0,1.1,66.67,0.73,100,0.37,0,0,4.76,23.08,15.73,11.63,2.93,0.73,1.46,5.85,1.1,1.1,10.24,75,2.93,50,3.66,90,2.2,100,8.78,79.17,0.37,0,13.7,9.01,0.08,0.73,0,0,0.37,0,0.37,1.46,50,0.73,50,0.37,0,0.73,0.37,1.83,60,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",1.098608,0,0,7.68,3.294,1.098,0.37,0.73337,0.365,23.76838495314
"262","R. Brown","Forest Green Rovers","Forest Green Rovers","England League One","2022/23","RCMF","LCMF",NA,26,250000,"",4,245,1,0.21,0,0.27,12.86,60,"England","England, Jamaica","right",175,78,"no",6.61,5.51,80,1.1,100,0.37,0.46,0,1.84,2.31,1.1,0,0,0,0,1.47,0.37,1,0.37,0.08,0,0,4,1.47,25,25,0,0.37,100,0.37,100,0,0,0,0.73,100,2.94,37.5,0.73,0.37,0,15.8,0.73,0,26.08,80.28,9.92,59.26,5.14,100,6.24,94.12,21.67,84.75,4.04,54.55,22.18,42.55,0.1,1.47,0,0,0,0,0,4.41,66.67,1.47,75,0.37,0,1.1,0.37,6.98,68.42,0,NA,0,NA,0,0,0,0,NA,NA,0.37,NA,NA,0.37,0,0,1.1,0,0,"CM2",0.73,4.625,0,20.937024,4.408,4.775716,0.3675,0.37,1.1025,16.798026365
"263","T. John-Jules","Ipswich Town","Ipswich Town","England League One","2022/23","CF","AMF",NA,21,800000,"31/05/2023",5,245,1,0.93,0,0.05,32.69,32.58,"England","England, Dominica","right",183,75,"yes",6.24,5.88,50,7.71,19.05,0.73,1.46,0,2.57,5.12,2.94,1,0.37,0,0,1.84,0.37,1,0.37,0.34,0,0,5,1.84,20,20,0,0.73,0,0.37,0,0.37,0,0,2.94,37.5,14.69,30,5.88,0,0,15.06,0.73,3.67,23.51,76.56,5.88,62.5,6.61,88.89,4.04,81.82,21.31,82.76,1.47,25,15.74,11.57,0.02,0.73,0,0,0.73,50,0,2.57,42.86,0.73,100,0.73,50,2.2,0,2.57,57.14,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",1.1025,1.08823529411765,0.365,17.999256,2.94,1.468498,0.368,0,0.73,13.32977738
"264","S. Lavelle","Charlton Athletic","Charlton Athletic","England League One","2022/23","RCB","CB",NA,26,250000,"30/06/2024",3,244,0,0,0,0,16.6,71.11,"England","England, Scotland","right",188,78,"no",9.59,5.53,86.67,9.22,72,0,0,0.74,4.8,7.22,0.37,1,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,1.48,25,0,0,0,35.78,0.37,0.37,47.95,88.46,18.07,75.51,2.58,85.71,22.5,98.36,43.89,91.6,4.06,54.55,18.38,36.05,0,0,0,0,0,0,0,3.69,70,0.74,0,0.37,0,0,0,5.53,60,0,NA,0,NA,0,0,0,0,NA,NA,1.48,NA,NA,0,0,0,0,0,0,"CB",0,NA,0,42.41657,4.792851,3.318,0,0,0,1.91842558
"265","K. Edwards","Ipswich Town","Ipswich Town","England League One","2022/23","AMF","RWB",NA,24,500000,"30/06/2024",4,242,2,0.77,0,0.57,21.94,38.98,"England","England","right",172,64,"no",5.58,4.83,46.15,1.86,0,0,0,0,3.35,7.5,0.37,0,0,0,0,9.3,0.74,2,0.74,0.29,0,0,6,2.23,33.33,33.333,0,4.09,45.45,2.98,50,1.12,33.33,0,8.55,69.57,13.39,47.22,4.09,4.83,2.6,25.66,0.74,1.12,34.21,82.61,10.41,78.57,9.3,100,10.41,78.57,29.75,87.5,0.37,100,17.64,6.98,0.21,1.49,0.37,0,1.49,50,0.37,2.98,100,6.69,61.11,1.12,33.33,2.23,1.86,8.18,86.36,0,NA,0,NA,0,0,0,0,NA,NA,0.37,NA,NA,0,0,0,0,0,0,"CAM",5.948235,2.55172413793103,0.745,28.260881,2.229045,7.064248,0.743259,1.858905,4.088259,74.447377604032
"266","M. Lowe","Accrington Stanley","Accrington Stanley","England League One","2022/23","CF","RAMF",NA,26,100000,"30/06/2024",4,241,0,0.87,0,0.04,35.85,27.08,"England","England","",0,0,"no",3.73,4.85,53.85,10.46,21.43,0,0,0,1.12,1.8,1.12,0,0,0,0,1.12,0,0,0,0.33,0,0,4,1.49,25,0,0,1.12,0,0,0,1.12,0,0,2.24,33.33,10.08,22.22,3.36,1.12,1.12,5.6,1.12,1.49,8.96,66.67,1.87,60,1.87,80,2.61,57.14,7.1,84.21,0.75,0,17.05,8.84,0.02,0.75,0,0,0,0,0,0.75,0,0.37,100,0,0,0.37,0,0.37,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",0.746592,0,0,5.973632,2.611725,0.37,0.3725,0,0.37,3.7958642
"267","J. Grounds","Exeter City","Exeter City","England League One","2022/23","LCB",NA,NA,34,100000,"",3,241,1,0.32,0,0,15.31,51.22,"England","England","left",185,80,"no",6.72,5.6,53.33,5.23,50,0,0,1.12,3.73,5.88,1.87,2,0.75,0,0,0.37,0.37,1,0.37,0.12,0,0,2,0.75,50,50,0,1.12,0,1.12,0,0,0,0.37,0.75,0,1.12,0,0.37,0.37,0,19.05,0.37,0.37,32.86,71.59,17.93,62.5,1.12,100,10.83,86.21,23.15,85.48,8.59,43.48,27.98,43.96,0,0,0,0,0,0,0,8.96,58.33,1.87,20,1.12,33.33,0,0,8.59,78.26,0,NA,0,NA,0,0,0,0,NA,NA,0.75,NA,NA,0,0,0,0,0,0,"CB",0,3.08333333333333,0,23.524474,2.98648,6.722534,0.375,0,0.374,8.798549372
"268","N. Holland","Milton Keynes Dons","Milton Keynes Dons","England League One","2022/23","RW","AMF",NA,24,500000,"",3,238,0,0.18,0,0.56,20.8,36.36,"England","England, Barbados","right",178,70,"no",3.78,4.92,46.15,1.13,0,0,0,0,1.51,1.67,0.76,0,0,0,0,4.92,0,0,0,0.07,0,0,5,1.89,80,0,0,0.76,50,0,0,0.76,50,0.38,6.05,50,10.97,34.48,2.27,2.65,1.13,21.93,0.38,0.76,29.12,83.12,4.16,45.45,9.83,92.31,7.94,95.24,27.61,86.3,0.76,0,13.65,27.51,0.21,1.51,0,0,1.51,0,1.13,2.65,28.57,0.76,100,1.51,0,0.38,0.38,1.13,66.67,0,NA,0,NA,0,0,0,0,NA,NA,0.38,NA,NA,0,0,0,0,0,0,"Winger",3.025,0,0,24.204544,2.27058,0.753371,1.512,0.38,0.76,60.84225216
