"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Long_Pass_Ability","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation","First_Name","Last_Name","Player_url","Player_Apps","Player_Tackles","Player_Mins","Player_Inter","Player_Fouls","Player_Offsides","Player_Clear","Player_Drb","Player_Blocks","Player_OwnG","Player_Team","Player_Team_url","Player_Age","Player_Position","Defensive_Ratio"
"59","J. Austerfield","Harrogate Town","Harrogate Town","English League Two","2022/23","LCMF","DMF",NA,20,100000,"2026-06-30",7,663,0,0.05,0,0.07,17.1,65.08,"England","England","",179,57,"yes",10.72,6.65,65.31,3.26,79.17,0.27,0.39,0.27,6.11,8.77,1.36,3,0.41,0,0,0.81,0,0,0,0.01,0,0,3,0.41,33.33,0,0,0,0,0,0,0,0,0,1.09,62.5,4.07,60,0,0.41,0.27,30.41,0,1.76,52.4,78.24,17.38,55.47,8.28,95.08,18.19,85.82,44.8,85.45,7.6,35.71,18.69,35.93,0.01,0.27,0,0,0.27,0,0.14,10.86,60,1.22,0,0.68,40,0.14,0,8.55,65.08,0,NA,0,NA,0,0,0,0,NA,NA,0.27,NA,NA,0,0,0,0.81,0,0,"CM2",0.68125,0,0,40.99776,4.343115,5.56434,1283.0603,0.136653,0,0,8.43161607,"J","Austerfield","https://www.whoscored.com/Players/389076/Show/Josh-Austerfield","7",2.6,608,2,1.3,0,1,1.1,0.1,0,"Harrogate Town,","https://www.whoscored.com/Teams/1974/Show/England-Harrogate-Town",20,", M(C)",1.91666666666667
"60","T. Magloire","Northampton Town","Northampton Town","English League Two","2022/23","RCB","RB",NA,23,250000,"2025-06-30",7,663,2,1.21,0,0.06,24.84,59.56,"England","England","right",183,73,"no",11.13,9.5,71.43,7.19,56.6,0.54,0.87,0.68,3.8,6.09,1.63,1,0.14,0,0,0.68,0.27,2,0.27,0.16,2,0.27,6,0.81,50,33.333,0,0.14,100,0,0,0.14,100,0,1.09,12.5,2.85,28.57,0.68,0.41,0.27,21.31,0.41,0.95,37.06,77.66,18.19,65.67,0.95,85.71,15.75,89.66,29.86,85,7.06,46.15,23.18,38.73,0.01,0.14,0,0,0,0,0,6.11,42.22,0.41,33.33,0.41,0,0,0.14,8.42,58.06,0,NA,0,NA,0,0,0,0,NA,NA,0.68,NA,NA,0,0,0,0,0,0,"CB",0.13625,1.6875,0,28.780796,6.78585,4.888652,1787.3895,0.405,0.14,0.136653,4.348074671074,"T","Magloire","https://www.whoscored.com/Players/371378/Show/Tyler-Magloire","7",2.4,603,1,1.7,0.1,2.9,0.4,0.6,0,"Northampton,","https://www.whoscored.com/Teams/316/Show/England-Northampton",23,", D(CR)",1.61904761904762
"61","D. Agyei","Crewe Alexandra","Crewe Alexandra","English League Two","2022/23","CF","LAMF","RAMF",25,100000,"2023-06-30",7,662,2,1.13,1,0.44,31.27,38.7,"England","England, Ghana","left",183,77,"no",4.35,3.26,58.33,5.71,30.95,0,0,0,2.45,3.27,0.41,1,0.14,0,0,5.44,0.27,2,0.27,0.15,2,0.27,13,1.77,23.08,15.385,0.14,1.63,25,0.68,40,0.95,14.29,0.41,7.48,61.82,17.67,40.77,2.45,1.5,1.36,4.08,0.27,2.18,10.47,61.04,1.63,41.67,2.45,77.78,2.45,66.67,8.56,69.84,0.41,0,14.65,19.61,0.06,0.41,0,0,0.27,0,0.27,0.41,66.67,1.09,62.5,0.27,0,0.41,0.41,1.09,75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0.14,0,0,"CF",4.624136,1.8,0,6.390888,1.901558,0.8175,0,0.408516,0.4075,0.68125,20.0825063175,"D","Agyei","https://www.whoscored.com/Players/275887/Show/Daniel-Agyei","7",0.9,610,0,0.4,0.1,0.6,0.7,0,0,"Crewe,","https://www.whoscored.com/Teams/176/Show/England-Crewe",25,", M(LR),FW",0.818181818181818
"62","R. Hunt","Leyton Orient","Leyton Orient","English League Two","2022/23","LB",NA,NA,27,100000,"2024-06-30",7,662,0,0,0,0.05,15.09,54.05,"England","England","right",171,67,"no",5.98,3.67,55.56,3.67,51.85,0.14,0.22,0.14,3.81,6.18,0.54,3,0.41,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0.54,0,0,0,0.14,0.82,83.33,3.26,54.17,0.54,0.82,0.41,21.21,2.18,0.95,33.58,81.78,13.05,67.71,6.25,95.65,9.38,89.86,29.5,88.94,3.53,34.62,18.77,33.72,0.01,0.14,0,0,0.14,0,0,4.21,67.74,0.82,33.33,0.41,33.33,0.14,0,7.48,69.09,0,NA,0,NA,0,0,0,0,NA,NA,1.36,NA,NA,0,0,0,0,0,0,"FB",0.683306,NA,0,27.461724,2.039052,5.167932,1167.3864,0,0,0.273306,4.730066872148,"R","Hunt","https://www.whoscored.com/Players/323578/Show/Rob-Hunt","7",1.3,599,0.6,0.6,0.3,1.3,0.3,0.3,0,"Leyton Orient,","https://www.whoscored.com/Teams/97/Show/England-Leyton-Orient",27,", D(CLR),M(R)",2.11111111111111
"63","S. McWilliams","Northampton Town","Northampton Town","English League Two","2022/23","DMF","RCMF","RDMF",24,50000,"2024-06-30",7,661,0,0.01,0,0.13,17.7,53.85,"England","England","right",180,69,"no",11.16,6.54,60.42,1.91,57.14,1.63,2.54,0.41,5.58,8.66,1.23,3,0.41,0,0,1.36,0,0,0,0,0,0,2,0.27,0,0,0,0.68,40,0.14,0,0.54,50,0.14,1.23,66.67,5.17,50,0.27,0.82,0.68,25.87,0.27,1.09,43.57,83.75,13.21,65.98,6.26,100,16.07,93.22,36.49,89.93,6.54,52.08,19.2,36.99,0.02,0.41,0,0,0.54,50,0.27,7.62,69.64,2.31,58.82,1.36,40,0.82,0.27,7.35,72.22,0,NA,0,NA,0,0,0,0,NA,NA,0.95,NA,NA,0,0,0,0,0,0,"CDM",0.820041,NA,0.27,36.489875,3.951468,5.30817,1926.4392,0,0.272,1.358742,30.914558413836,"S","McWilliams","https://www.whoscored.com/Players/262410/Show/Shaun-McWilliams","7",2.3,605,1.3,1.3,0.3,1.3,1.1,0.4,0,"Northampton,","https://www.whoscored.com/Teams/316/Show/England-Northampton",24,", DMC",1.5
"64","M. Ehmer","Gillingham","Gillingham","English League Two","2022/23","RCB","CB",NA,30,175000,"2023-06-30",7,660,0,0.21,0,0,16.5,60.33,"Germany","Germany","right",188,75,"no",7.5,5.32,64.1,6.27,69.57,0.27,0.39,0.27,3.82,5.42,0.95,2,0.27,0,0,0.14,0,0,0,0.03,0,0,1,0.14,100,0,0,0,0,0,0,0,0,0,0,0,0.55,25,0.14,0,0,12.68,0,0,26.59,74.36,14.73,60.19,1.09,100,9,93.94,19.09,87.86,7.5,40,26.58,43.77,0,0,0,0,0,0,0,5.59,36.59,0.68,20,0.55,50,0.14,0,6.41,63.83,0,NA,0,NA,0,0,0,0,NA,NA,0.68,NA,NA,0,0,0,0,0,0,"CB",0,0,0,19.772324,3.41012,4.091503,1750.8,0.14,0,0.136,3.939503988,"M","Ehmer","https://www.whoscored.com/Players/91832/Show/Max-Ehmer","7",0.6,613,1.7,0.9,0.1,3.1,0.1,0.3,0,"Gillingham,","https://www.whoscored.com/Teams/191/Show/England-Gillingham",30,", D(CR)",2.3
"65","T. James","Leyton Orient","Leyton Orient","English League Two","2022/23","RB",NA,NA,26,200000,"2024-06-30",7,657,2,0.2,0,0.06,11.23,53.66,"Wales","Wales","right",180,65,"no",7.4,4.93,61.11,2.6,36.84,0.41,0.65,0.14,3.97,6.3,0.55,3,0.41,0,0,0.68,0.27,2,0.27,0.03,0,0,7,0.96,28.57,28.571,0,0.82,16.67,0.41,0,0.41,33.33,0.41,0.14,100,1.92,57.14,0,0.82,0.14,36.85,2.19,0.96,45.07,75.38,17.4,55.12,7.26,96.23,15.48,84.96,35.62,85.77,8.77,39.06,22.89,44.16,0.01,0.27,0,0,0.27,50,0.14,10.14,50,1.92,35.71,0.82,50,0.68,0,10.14,81.08,0,NA,0,NA,0,0,0,0,NA,NA,1.23,NA,NA,0.82,0,0,0.55,0,0,"FB",0.14,9,0.135,33.973766,3.012723,8.221512,1724.8896,0.274272,0.136694,0.685632,16.397045930524,"T","James","https://www.whoscored.com/Players/149106/Show/Tom-James","7",0.9,604,0.4,0.6,0.1,1.3,0.9,0.1,0,"Leyton Orient,","https://www.whoscored.com/Teams/97/Show/England-Leyton-Orient",26,", D(R),M(R)",0.866666666666667
"66","B. Comley","Walsall","Walsall","English League Two","2022/23","LCMF","DMF",NA,26,0,"2024-06-30",7,655,1,0.32,0,0.28,20.34,55.41,"Montserrat","Montserrat","right",180,72,"no",9.34,8.38,65.57,3.16,52.17,1.1,1.63,0.14,2.75,4.08,1.1,1,0.14,0,0,0.82,0.14,1,0.14,0.04,0,0,7,0.96,14.29,14.286,0,0.69,40,0.27,50,0.41,33.33,0.14,0.69,60,5.22,47.37,0.14,0.69,0.14,14.7,0.14,1.37,28.72,77.99,8.38,55.74,5.5,87.5,11.27,91.46,24.6,85.47,3.57,30.77,19.6,32.64,0.04,0.27,0,0,0.14,0,0.14,3.44,44,1.51,36.36,0.41,0,0.27,0.41,4.81,45.71,0,NA,0,NA,0,0,0,0,NA,NA,0.82,NA,NA,0,0,0,0.69,0,0,"CM2",0.414,3.5,0,22.398728,5.494766,2.198651,1004.3328,0.137184,0.276,0.549036,14.079504658488,"B","Comley","https://www.whoscored.com/Players/270341/Show/Brandon-Comley","7",2.3,604,1.3,1.1,0.1,1.3,0.6,0.3,0,"Walsall,","https://www.whoscored.com/Teams/173/Show/England-Walsall",26,", DMC",2.11764705882353
"67","R. Harbottle","Mansfield Town","Mansfield Town","English League Two","2022/23","LCB","RCB","CB",21,0,"2024-06-30",7,654,2,0.67,0,0,21.74,57.59,"England","England","right",187,0,"no",11.97,7.43,75.93,8.94,44.62,0.55,0.96,0.28,5.78,10.08,0.96,0,0,0,0,0.55,0.28,2,0.28,0.09,2,0.28,5,0.69,60,40,0,0,0,0,0,0,0,0,0.14,100,1.65,50,0.69,1.93,0.28,26.83,0.96,0.55,41.83,78.62,21.06,64.71,1.65,100,15.41,96.43,35.92,86.21,5.92,32.56,21.59,37.57,0,0,0,0,0.28,0,0,7.57,58.18,0.96,42.86,0.96,14.29,0.28,0,7.71,57.14,0,NA,0,NA,0,0,0,0,NA,NA,0.96,NA,NA,0,0,0,0,0,0,"CB",0.14,3.11111111111111,0,32.886746,5.641599,4.405494,1223.2792,0.414,0,0.411456,8.268550174848,"R","Harbottle","https://www.whoscored.com/Players/422533/Show/Riley-Harbottle","7",1.9,597,1.9,1,0,4,0.6,0.3,0,"Mansfield,","https://www.whoscored.com/Teams/99/Show/England-Mansfield",21,", D(C)",2.375
"68","J. Gordon","Barrow","Barrow","English League Two","2022/23","CF",NA,NA,27,0,"2023-06-30",7,654,5,2.77,0,0,44.31,28.26,"England","England","right",178,74,"no",7.84,5.37,64.1,12.39,28.89,0.55,0.81,0.14,3.85,5.68,1.79,3,0.41,0,0,3.72,0.69,5,0.69,0.38,0,0,17,2.34,64.71,29.412,0,1.51,18.18,0.55,0,0.96,28.57,0.28,4.13,46.67,15.14,24.55,3.58,1.51,0.69,8.53,2.61,1.51,13.21,69.79,3.44,64,3.44,84,2.61,57.89,11.56,77.38,0.28,0,15.26,9.79,0,0,0,0,0.14,0,0,1.24,77.78,1.38,30,0.14,0,0.14,0.41,1.24,77.78,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",1.927471,1.81578947368421,0,9.219259,3.44217,0.964472,0,1.514214,0.274518,0.414,5.431452977996,"J","Gordon","https://www.whoscored.com/Players/362183/Show/Josh-Gordon","7",1.4,598,0.4,2,0,0.3,0.3,0.1,0,"Barrow,","https://www.whoscored.com/Teams/1383/Show/England-Barrow",27,", AM(LR),FW",0.782608695652174
