"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"516","Henrique Araújo","Watford","Watford","English Championship","2022/23","CF",NA,NA,21,5000000,"30/06/2027",7,349,0,0.19,1,0.73,26.82,24.04,"Portugal","Portugal","right",182,75,"yes",3.35,3.87,46.67,6.96,29.63,0,0,0,1.55,2.2,1.55,0,0,0,0,0.52,0,0,0,0.05,0,0,2,0.52,0,0,0.26,0.52,50,0,0,0.26,0,0.26,0.52,50,8.77,17.65,3.35,0.52,0,9.54,0.77,0.77,17.02,74.24,3.35,38.46,4.13,87.5,3.09,83.33,16.5,75,0,0,11.55,0,0.19,0.77,0,0,0.52,0,0.77,1.81,57.14,0.26,0,0.52,0,0.77,0.26,1.03,25,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",0.26,0,0,12.635648,1.806129,0.2575,0,0.26,0,36.64480312
"517","T. Blackett","Rotherham United","Rotherham United","English Championship","2022/23","LCB",NA,NA,29,1500000,"30/06/2023",6,346,0,0,0,0.03,14.57,64.29,"England","England, Jamaica","left",191,87,"no",8.58,5.98,82.61,5.2,55,0,0,0.52,3.64,5.25,0.78,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0.26,100,0.26,100,0,0,0,0.26,100,0.78,66.67,0,0.52,0.26,13.01,0,0.78,24.97,76.04,14.57,71.43,1.04,100,7.8,83.33,17.43,86.57,7.28,50,27.57,44.29,0.01,0.26,0,0,0,0,0,5.98,60.87,1.3,60,0,0,0.52,0.26,8.58,72.73,0,NA,0,NA,0,0,0,0,NA,NA,0.52,NA,NA,0,0,0,0,0,0,"CB",0.26,NA,0,18.987188,4.940078,6.240234,0,0.26,0.78,7.97748233
"518","L. Kelly","Coventry City","Coventry City","English Championship","2022/23","DMF","LCMF","RCMF",33,250000,"30/06/2023",9,346,0,0.22,0,0.24,18.21,45.71,"England","England, Scotland","right",187,88,"no",10.4,8.84,47.06,1.56,50,0.26,0.43,0.26,5.98,9.86,1.56,0,0,0,0,0.26,0,0,0,0.06,0,0,4,1.04,0,0,0,0.52,50,0,0,0.52,50,0,0,0,2.08,25,0.52,0,0,20.81,0,0,35.64,81.75,14.05,66.67,5.2,100,10.66,85.37,31.21,87.5,3.9,40,16.95,16.78,0.06,0.52,0,0,0,0,0,4.68,61.11,0.52,50,0.26,100,0.52,0.26,5.72,63.64,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CDM",0,0,0,29.1357,4.160104,3.640208,0,0.26,0.26,7.25745386
"519","H. Vaughan","Hull City U21","Hull City","English Championship","2022/23","LW","CF",NA,19,0,"",4,336,0,0.03,0,0.23,17.95,52.24,"Republic of Ireland","Republic of Ireland","right",0,0,"no",5.09,6.96,61.54,0.54,0,0,0,0,0.8,0.81,0.54,1,0.27,0,0,2.95,0,0,0,0.01,0,0,1,0.27,0,0,0,0.54,0,0.54,0,0,0,0.27,2.95,90.91,7.77,55.17,1.61,2.14,1.34,10.71,0.8,1.88,16.34,77.05,5.09,63.16,3.75,92.86,4.29,75,15.54,81.03,0.27,0,15.34,4.67,0.06,0.27,0,0,0.54,50,0.27,0.54,100,2.14,62.5,0.54,50,1.07,0,1.88,71.43,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"Winger",2.681845,0,0.27,12.58997,4.283184,1.342884,0,0,1.3375,26.784466385
"520","T. Kalas","Bristol City","Bristol City","English Championship","2022/23","LCB","RCB",NA,29,1200000,"30/06/2023",7,332,0,0.18,0,0,16.54,73.77,"Czech Republic","Czech Republic","right",183,80,"no",7.86,4.34,93.75,5.42,65,0.27,0.37,0.81,3.52,4.76,0.27,0,0,0,0,0,0,0,0,0.05,0,0,1,0.27,0,0,0,0,0,0,0,0,0,0,0,0,1.63,33.33,0.27,0.81,0,28.46,0.27,1.08,47.17,87.93,21.69,76.25,1.63,83.33,19.52,100,41.75,92.21,5.42,55,14.9,19.91,0,0,0,0,0,0,0,3.8,64.29,0,0,0,0,0.27,0,6.23,52.17,0,NA,0,NA,0,0,0,0,NA,NA,1.08,NA,NA,0,0,0,0,0,0,"CB",0,0,0,41.476581,4.06875,3.250191,0,0,0,0
"521","C. Tzolis","Norwich City","Norwich City","English Championship","2022/23","LAMF","LW",NA,21,7000000,"30/06/2026",12,329,1,0.94,0,0.47,18.05,42.42,"Greece","Greece","right",179,73,"no",8.21,6.84,64,2.74,10,0,0,0,3.83,5.75,0.82,0,0,0,0,1.91,0.27,1,0.27,0.26,0,0,7,1.91,57.14,14.286,0,0.82,33.33,0.27,0,0.55,50,0,0.27,100,5.74,23.81,3.01,1.09,0.82,17.78,1.91,0.27,27.36,67,8.21,40,5.74,85.71,7.93,68.97,24.35,70.79,2.19,37.5,15.32,15.05,0.13,1.09,0,0,1.37,20,0.27,2.46,33.33,3.01,27.27,1.91,14.29,1.37,0.27,4.38,37.5,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"Winger",0.27,1.03846153846154,0.274,18.3312,4.3776,1.6425,1.091374,0.273306,0.820827,34.102251667698
"522","J. Bennette","Sunderland","Sunderland","English Championship","2022/23","LAMF","LW","CF",18,0,"",15,326,1,0.56,0,0.1,22.36,48.15,"Costa Rica","Costa Rica","left",175,72,"no",5.52,6.35,47.83,1.93,0,0.28,0.61,0,2.21,4.9,0.55,2,0.55,0,0,9.11,0.28,1,0.28,0.16,0,0,5,1.38,80,20,0,4.69,41.18,4.14,46.67,0.55,0,0.28,9.39,64.71,11.87,60.47,2.76,3.59,1.1,20.71,0.83,1.93,25.95,79.79,3.04,72.73,8.28,83.33,8.56,83.87,20.98,89.47,0.83,66.67,16.8,3.05,0.03,0.28,0,0,0,0,0.28,0.55,100,2.21,50,0.28,0,0,1.38,2.76,70,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"Winger",6.076269,1.75,0,20.705505,3.037205,1.932,1.104,1.931342,1.105,30.328765984924
"523","T. Richards","Queens Park Rangers","Queens Park Rangers","English Championship","2022/23","RCMF","AMF","RAMF",22,400000,"30/06/2024",15,321,0,0.68,0,0.11,27.2,46.39,"England","England","left",180,78,"yes",5.89,5.61,60,1.68,50,0.56,1.03,0,1.96,3.62,1.4,2,0.56,0,0,4.77,0,0,0,0.19,0,0,10,2.8,40,0,0,1.96,42.86,0.84,33.33,1.12,50,0.28,5.61,50,15.7,42.86,2.52,2.52,1.12,32.24,0,1.4,41.21,85.03,9.81,77.14,6.73,100,16.54,89.83,36.73,88.55,2.8,70,17.35,26.18,0.03,0.56,0,0,0.56,0,0.56,4.21,66.67,2.24,50,0,0,1.12,0.28,4.77,76.47,0,NA,0,NA,0,0,0,0,NA,NA,0.84,NA,NA,0.28,0,0,0.56,0,0,"CM2",2.805,0,0,35.040863,3.366,3.647619,1.12,0.840056,1.12,32.429910278432
"524","G. Hirst","Ipswich Town","Blackburn Rovers","English Championship","2022/23","CF","RWF",NA,23,800000,"30/06/2025",9,308,0,1.22,0,0.25,22.5,36.36,"England","England","right",191,81,"yes",4.68,4.09,64.29,4.97,29.41,0,0,0,2.05,2.96,2.34,1,0.29,0,0,1.46,0,0,0,0.36,0,0,6,1.75,16.67,0,0,1.46,0,0.29,0,1.17,0,0.58,1.75,66.67,8.77,30,1.75,0.58,0,12.86,2.92,1.17,15.78,75.93,2.92,50,5.26,94.44,5.55,73.68,14.03,85.42,0.29,0,13.96,5.19,0.07,0.58,0,0,0,0,0.29,1.17,50,1.75,16.67,0,0,0.29,0,1.46,80,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0.29,1,0,"CF",1.166725,0,0,11.981754,2.629461,1.168,0.291725,0,0.291725,14.55670488005
"525","J. Collins","Cardiff City","Cardiff City","English Championship","2022/23","LB",NA,NA,28,1000000,"30/06/2024",4,308,0,0.03,0,0,29.22,56,"Nigeria","Nigeria","left",183,73,"no",14.61,10.52,75,4.09,35.71,0,0,0,6.72,10.45,0.88,1,0.29,0,0,2.05,0,0,0,0.01,0,0,1,0.29,0,0,0,1.75,16.67,1.75,16.67,0,0,0.29,4.09,42.86,9.35,46.88,0.58,2.63,2.05,23.67,0.88,2.63,36.23,78.23,16.07,70.91,6.14,90.48,8.77,86.67,28.64,86.73,6.14,52.38,21.34,39.22,0,0,0,0,0,0,0,5.55,57.89,1.75,66.67,1.17,25,0.58,0.29,8.18,75,0,NA,0,NA,0,0,0,0,NA,NA,0.88,NA,NA,0,0,0,0,0,0,"FB",1.752974,0,0,28.342729,7.89,6.135,0,0.291725,1.166725,16.8799638655
